ID,State,Votes
0,Alabama,9
1,Alaska,3
2,Arizona,11
3,Arkansas,6
4,California,55
5,Colorado,9
6,Connecticut,7
7,Delaware,3
8,Florida,29
9,Georgia,16
10,Hawaii,4
11,Idaho,4
12,Illinois,20
13,Indiana,11
14,Iowa,6
15,Kansas,6
16,Kentucky,8
17,Louisiana,8
18,Maine,4
19,Maryland,10
20,Massachusetts,11
21,Michigan,16
22,Minnesota,10
23,Mississippi,6
24,Missouri,10
25,Montana,3
26,Nebraska,5
27,Nevada,6
28,New Hampshire,4
29,New Jersey,14
30,New Mexico,5
31,New York,29
32,North Carolina,15
33,North Dakota,3
34,Ohio,18
35,Oklahoma,7
36,Oregon,7
37,Pennsylvania,20
38,Rhode Island,4
39,South Carolina,9
40,South Dakota,3
41,Tennessee,11
42,Texas,38
43,Utah,6
44,Vermont,3
45,Virginia,13
46,Washington,12
47,West Virginia,5
48,Wisconsin,10
49,Wyoming,3
